Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714	TISSUE SPECIFICITY: Ubiquitous with very low level in normal skin. {ECO:0000269|PubMed:11863360}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	TRANSMEM 37..60; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 72..93; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 99..116; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 123..142; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 154..173; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 185..205; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 233..254; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 266..289; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 309..331; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 360..377; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 383..403; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 593..616; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 622..643; /note="Helical"; /evidence="ECO:0000255"
A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	ESYT3 FAM62C	Homo sapiens (Human)	886	TISSUE SPECIFICITY: Widely expressed with high level in cerebellum and skin. {ECO:0000269|PubMed:17360437}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17360437, ECO:0000269|PubMed:29469807}; Peripheral membrane protein {ECO:0000269|PubMed:17360437}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:29469807}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS) (PubMed:29469807, PubMed:30220461). Recruited to the cell membrane via the third C2 domain. {ECO:0000269|PubMed:17360437, ECO:0000269|PubMed:29469807, ECO:0000269|PubMed:30220461}.	TRANSMEM 30..50; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 51..71; /note="Helical"; /evidence="ECO:0000255"
A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371	TISSUE SPECIFICITY: Broadly expressed, with highest levels in heart and skeletal muscle, and lowest levels in liver, small intestine and thymus. Well expressed in retinal ganglion cells, epidermal skin cells, and leukocytes. Up-regulated together with N-myc in some neuroblastoma cell lines. {ECO:0000269|PubMed:10882752, ECO:0000269|PubMed:12706883, ECO:0000269|PubMed:20577004, ECO:0000269|PubMed:9926938}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20577004}. Endoplasmic reticulum {ECO:0000269|PubMed:19369418}. Endoplasmic reticulum membrane; Peripheral membrane protein {ECO:0000305}.	
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454	TISSUE SPECIFICITY: In the epidermis, expressed predominantly in the granular layer at the apical edge of keratinocytes (at protein level). Also detected in placenta, testis and thymus but not in epithelia of kidney, lung, small intestine or colon. {ECO:0000269|PubMed:16298998}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16298998}.	
A8MQ03	reviewed	CRTP1_HUMAN	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144	TISSUE SPECIFICITY: Expressed in the stratum granulosum, in skin and oral epithelia (at protein level). {ECO:0000269|PubMed:36804407}.	SUBCELLULAR LOCATION: Cornified envelope {ECO:0000269|PubMed:36804407}.	
A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615	TISSUE SPECIFICITY: Expressed in skin, followed by lung, small intestine, colon and testis. In skin, it is expressed in the epidermis with strongest staining in suprabasal viable layers. In ATOD patients, it is absent in the most differentiated upper spinous and granular layers (at protein level). {ECO:0000269|PubMed:17850181}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}.	
O00204	reviewed	ST2B1_HUMAN	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	SULT2B1 HSST2	Homo sapiens (Human)	365	TISSUE SPECIFICITY: Expressed in the stratum granulosum-stratum corneum junction in the skin (at protein level) (PubMed:28575648). Expressed highly in placenta, prostate and trachea and lower expression in the small intestine and lung (PubMed:9799594). {ECO:0000269|PubMed:28575648, ECO:0000269|PubMed:9799594}.	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12923182, ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633, ECO:0000269|PubMed:28575648}. Microsome {ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633}. Nucleus {ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633}. Note=Phosphorylation of Ser-348 is required for translocation to the nucleus. {ECO:0000269|PubMed:21855633}.	
O00469	reviewed	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737	TISSUE SPECIFICITY: Highly expressed in pancreas and muscle. Isoform 1 and isoform 2 are expressed in the majority of the examined cell types. Isoform 2 is specifically expressed in skin, lung, dura and aorta. {ECO:0000269|PubMed:10372558}.	SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.	
O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662	TISSUE SPECIFICITY: Widely expressed (PubMed:15294876). In testis, expressed in spermatids (PubMed:15294876). Expressed in epidermis and liver (at protein level) (PubMed:16301996, PubMed:16818630). {ECO:0000269|PubMed:15294876, ECO:0000269|PubMed:16301996, ECO:0000269|PubMed:16818630}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23413191, ECO:0000269|PubMed:29899501}. Nucleus {ECO:0000269|PubMed:10329544, ECO:0000269|PubMed:15507209, ECO:0000269|PubMed:16818630, ECO:0000269|PubMed:18596238, ECO:0000269|PubMed:18636090, ECO:0000269|PubMed:22034099, ECO:0000269|PubMed:29899501, ECO:0000269|PubMed:30131165, ECO:0000269|PubMed:31575075}. Cytoplasm {ECO:0000269|PubMed:10329544, ECO:0000269|PubMed:15507209, ECO:0000269|PubMed:16818630, ECO:0000269|PubMed:18596238, ECO:0000269|PubMed:18636090, ECO:0000269|PubMed:20127681, ECO:0000269|PubMed:21170385, ECO:0000269|PubMed:21730191, ECO:0000269|PubMed:21883093, ECO:0000269|PubMed:22034099, ECO:0000269|PubMed:23413191, ECO:0000269|PubMed:27105836, ECO:0000269|PubMed:27736973, ECO:0000269|PubMed:28733330, ECO:0000269|PubMed:29062139, ECO:0000269|PubMed:29222110, ECO:0000269|PubMed:30131165, ECO:0000269|PubMed:30341167, ECO:0000269|PubMed:31575075, ECO:0000269|PubMed:33674311}. Cytoplasm, Stress granule {ECO:0000269|PubMed:18596238, ECO:0000269|PubMed:18632687, ECO:0000269|PubMed:22872150, ECO:0000269|PubMed:29062139}. Inflammasome {ECO:0000250|UniProtKB:Q62167}. Cell projection, lamellipodium {ECO:0000269|PubMed:28733330}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28842590}. Note=Shuttles between the nucleus and the cytosol (PubMed:15507209, PubMed:18636090, PubMed:29899501, PubMed:30131165, PubMed:31575075). Exported from the nucleus partly through the XPO1/CRM1 system and partly through NXF1/TAP (PubMed:15507209, PubMed:18596238, PubMed:18636090, PubMed:30131165, PubMed:31575075). Localizes to nuclear pores on the outer side of the nuclear membrane (PubMed:15507209). In the cytosol, partly colocalizes with mitochondria (PubMed:20127681). At G0, predominantly located in nucleus. In G1/S phase, predominantly cytoplasmic (PubMed:22034099). During prophase/prometaphase, localizes in close proximity to the condensing chromosomes (PubMed:21730191, PubMed:30131165). During telophase, localizes around the newly synthesized nuclear membrane and in the cytoplasm (PubMed:22034099). Colocalizes with TRPV4 at the plasma membrane. When TRPV4 channel is activated, intracellular Ca(2+) levels increase and the calmodulin/CAMKII pathway is activated, relocalizes to the nucleus (PubMed:29899501). WNT3A stimulation promotes DDX3 recruitment to the plasma membrane (PubMed:23413191). At the leading edge of migrating fibroblasts, colocalizes with CAPRIN1 and PABPC1 (PubMed:28733330). Localizes to centrosome throughout the cell cycle and associates with TP53 at centrosome during mitosis (PubMed:28842590). Translocates to the nucleus in response to HPIV-3 virus-mediated infection (PubMed:31575075). {ECO:0000269|PubMed:15507209, ECO:0000269|PubMed:18596238, ECO:0000269|PubMed:18636090, ECO:0000269|PubMed:20127681, ECO:0000269|PubMed:21730191, ECO:0000269|PubMed:22034099, ECO:0000269|PubMed:23413191, ECO:0000269|PubMed:28733330, ECO:0000269|PubMed:28842590, ECO:0000269|PubMed:29899501, ECO:0000269|PubMed:30131165, ECO:0000269|PubMed:31575075}.	
O00590	reviewed	ACKR2_HUMAN	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)	384	TISSUE SPECIFICITY: Found in endothelial cells lining afferent lymphatics in dermis and lymph nodes. Also found in lymph nodes subcapsular and medullary sinuses, tonsillar lymphatic sinuses and lymphatics in mucosa and submucosa of small and large intestine and appendix. Also found in some malignant vascular tumors. Expressed at high levels in Kaposi sarcoma-related pathologies. Expressed on apoptotic neutrophils (at protein level). Expressed primarily in placenta and fetal liver, and found at very low levels in the lung and lymph node. {ECO:0000269|PubMed:11238036, ECO:0000269|PubMed:22651933, ECO:0000269|PubMed:23479571}.	SUBCELLULAR LOCATION: Early endosome. Recycling endosome. Cell membrane; Multi-pass membrane protein. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.	TRANSMEM 51..71; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 93..113; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 119..140; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 163..183; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 218..238; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 251..271; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 294..314; /note="Helical; Name=7"; /evidence="ECO:0000255"
